#Table1
name,specobjid,ra,dec,plate,mjd,fiberid
754878504143019136,9967741534001715200,157.14607,38.119457,8853,57459,544
739253825436690432,2686552002170742784,152.96273,26.796094,2386,54064,563
608113531698574592,2733849414572468224,131.93612,12.883939,2428,53801,598
611167150367477888,5963987013506193408,135.38988,16.961725,5297,55913,346
616899071986605568,2910527743982594048,149.67276,16.314032,2585,54097,278
653782155180343040,5071203632101480448,123.2766,14.49531,4504,55571,547
2500203890109764608,4109668063741499392,38.765299,-0.48654748,3650,55244,485
2498756859793039232,4109725513224050688,39.750826,0.1742261,3650,55244,694
2481259609707306496,10504689416580388864,24.700916,-3.5799624,9330,57743,157
2505002944832341632,10494686340138162176,29.761464,-1.995972,9321,58069,630
1359160547057212160,9610945072314210304,254.26455,45.002251,8536,58015,958
667328516391473920,2163025575386572800,119.77139,16.983111,1921,53317,625
662468090881350016,2559306615043942400,126.71585,18.620217,2273,53709,495
626494956638789248,6510024834847889408,148.67854,18.652443,5782,56272,260
635639045092641280,2746193081761032192,139.55093,19.042972,2439,53795,448
627522381537131520,2659421822516226048,147.10633,19.66709,2362,53759,168
647300160472509184,6523676371386128384,148.09527,27.890259,5794,56282,772
642728288044864512,2639168818013825024,149.85225,25.024454,2344,53740,216
642837135401004672,2639159197287081984,149.98951,25.230908,2344,53740,181
649472245695986816,5075695137587484672,124.52868,12.198717,4508,55600,503
2509739915804015232,4763817837117855744,23.988455,-0.45144,4231,55444,492
2293086475309483904,2092057596600018944,291.8033,78.297744,1858,53271,493
2434159727027564032,3541119939433832448,353.97312,-9.9611227,3145,54801,599
2424880574738721408,735251432940267520,6.5095367,-10.631116,653,52145,141
239290357693974528,1874682768449890304,49.498011,40.719847,1665,52976,216
1884923638542537984,7084372880491042816,346.62241,28.314085,6292,56566,766
290678477446232960,5755735112856918016,26.332028,23.297971,5112,55895,490
1261742816108467328,4460933173615024128,227.0408,21.843645,3962,55660,428
1266120732108636160,6778072022700546048,224.20846,23.916217,6020,56087,562
1277028742153245952,1561638341386987520,231.63758,31.753501,1387,53118,55
1274417200175476608,1562909376845473792,233.89216,31.956083,1388,53119,583
1271112338804063744,4461986505737656320,231.92563,28.184886,3963,55659,164
1278161964981362816,1561716406712559616,229.7581,33.089482,1387,53118,339
1296809506093920000,9563585792686970880,224.42296,40.136499,8494,57104,698
1284883279561188480,2397056366167484416,215.46658,29.978715,2129,54252,56
1297359605506271104,4572433543276550144,247.0618,20.614755,4061,55362,560
1289549984869076864,12315103219491821568,222.93307,33.083519,10938,58514,36
1902773453904187776,8041410341312419840,340.40166,32.935812,7142,56567,848
777512951728187392,1618058954724632576,166.99776,40.986351,1437,53046,512
779606383212607104,5216544226708576256,160.48507,41.170312,4633,55620,909
793575201703625984,2189946569011259392,146.58935,32.857967,1945,53387,259
769409069995618432,1627055708887345152,175.45814,42.454201,1445,53062,474
814612909295736192,9344042186860419072,143.35519,42.232864,8299,57346,723
1508896885251959424,1446800392552736768,210.75284,46.634576,1285,52723,69
1505603779206567808,6817520301133551616,212.26172,45.583239,6055,56102,714
1508121484739540224,7595578714177689600,213.61224,49.275147,6746,56386,938
1471807609265922944,2365550128741246976,204.76499,35.977571,2101,53858,125
1477734110083441664,2392694046117095424,213.50906,32.535728,2125,53795,570
1483533488459297920,3300121555614328832,211.44933,36.765047,2931,54590,396
1475565392117253632,4485604010032912384,203.70067,37.763396,3984,55333,68
1475959330813942656,9959914110203484160,204.39833,39.348582,8846,57428,740
1485852491629542144,1517787343199692800,214.32364,40.364349,1348,53084,270
1523116177642231808,4479083906029869056,197.85107,38.621848,3978,55330,924
1523397828713912192,2272114179395577856,195.70356,37.865321,2018,53800,175
1536694184174598016,7468233826919274496,183.25241,42.325676,6633,56369,508
1543842663320171008,8355575457916409856,188.19736,48.160937,7421,57159,990
1526855620985274240,4476764485781313536,194.10656,40.01084,3976,55302,678
1304881884242947200,5635161565827454976,248.54697,28.203371,5005,55751,118
1303095830682512768,1773366354036942848,243.31295,24.859911,1575,53493,269
1302654750424575616,5636323199107225600,245.83142,25.646647,5006,55706,248
1306045197607519360,4707585792859723776,253.09276,24.703581,4181,55685,721
1312816162010220928,5625141715843438592,253.23625,30.437682,4996,55720,530
1314702614727004928,12281388892402505728,253.51463,34.018881,10908,58392,264
1311660540930405632,1512175980674836480,251.41566,30.99214,1343,52790,336
1608497864040134016,7916408236760389632,216.89088,53.810529,7031,56449,749
1611374216521821952,7659725322322204672,215.33308,57.0584,6803,56402,830
1612720366646956928,7650621916185909248,225.33234,56.154032,6795,56425,480
1552506849303732096,7593203769279797248,203.74698,48.719238,6744,56399,490
