element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Th,2,"=""3000.7743""","=""0.0006""","=""3000.77389""","=""0.00015""","=""9""","=""""",,"=""9238.02035""","=""12570.49403""","=""5f.6d.(1G*).7s""","=""*""","=""9/2""","=""6d3""","=""""","=""7/2""",,"=""""","=""L9974""",
Xe,1,"=""3003.01""","=""""","=""3003.01+""","=""0.09""","=""12:""","=""""",,"=""90804.538""","=""94134.53""","=""5p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).9p""","=""2[5/2]""","=""3""",,"=""""","=""L2228""",
Th,1,"=""3003.9121""","=""0.0006""","=""3003.91179""","=""0.00004""","=""9""","=""""",,"=""19948.395175""","=""23277.38774""","=""6d2.7s.7p""","=""5F*""","=""4""","=""5f.6d.7s.7p""","=""5I""","=""5""",,"=""""","=""L9974""",
Ti,1,"=""3003.919""","=""0.011""","=""3003.923""","=""0.005""","=""2""","=""""",,"=""31206.007""","=""34534.987""","=""3d2.(3P).4s.4p.(3P*)""","=""v 3D*""","=""3""","=""3d4""","=""3P2""","=""2""",,"=""""","=""L10989""",
Ar,2,"=""3004.2101""","=""0.0005""","=""3004.2108""","=""0.0003""","=""20""","=""""",,"=""199138.5106""","=""202467.1718""","=""3s2.3p4.(3P).6s""","=""4P""","=""3/2""","=""3s2.3p4.(3P).6p""","=""4D*""","=""3/2""",,"=""""","=""L11520""",
Ne,2,"=""3004.438""","=""0.004""","=""3004.437""","=""0.004""","=""18""","=""""",,"=""314927.6979""","=""318256.108""","=""2s2.2p4.(3P).6p""","=""4P*""","=""5/2""","=""2s2.2p4.(3P).7s""","=""4P""","=""5/2""",,"=""""","=""L11301""",
Ti,1,"=""3004.912""","=""0.011""","=""3004.912""","=""0.005""","=""3""","=""""",,"=""35123.425""","=""38451.309""","=""3d4""","=""3F2""","=""2""","=""3d3.(2G).4p""","=""t 3F*""","=""2""",,"=""""","=""L10989""",
Ar,2,"=""3004.940""","=""0.010""","=""3004.98""","=""0.04""","=""60""","=""""",,"=""211669.17""","=""214996.98""","=""3s2.3p4.(3P<1>).6f""","=""2[3]*""","=""5/2""","=""3s2.3p4.(3P<1>).7g""","=""2[4]""","=""7/2""",,"=""""","=""L11330""",
Fe,2,"=""3009.489""","=""0.003""","=""3009.4892""","=""0.0007""","=""0.09""","=""1.4e+03""",E,"=""104916.552""","=""108239.375""","=""3d6.(3F2).4d""","=""4F""","=""9/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4D*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Ti,1,"=""3010.467""","=""0.011""","=""3010.465""","=""0.005""","=""2""","=""""",,"=""38159.461""","=""41481.207""","=""3d2.(3P).4s.4p.(1P*)""","=""u 3D*""","=""3""","=""3d2.4s.(2F).5s""","=""3F""","=""4""",,"=""""","=""L10989""",
