plate,mjd,fiberID,snMedian
6413,56336,522,69.32729
6413,56336,537,3.278365
6413,56336,548,3.870496
6413,56336,560,23.65322
6413,56336,562,11.19787
6413,56336,564,14.4978
6413,56336,580,3.895375
6413,56336,600,2.969254
6413,56336,612,20.96635
11341,58428,100,34.271
11341,58428,130,2.100971
11341,58428,150,33.28922
11341,58428,185,1.769777
11341,58428,191,1.665688
5491,56034,84,1.578559
5491,56034,88,1.912244
5491,56034,94,17.04494
5491,56034,102,21.10155
5491,56034,104,10.63224
5491,56034,106,31.48389
5491,56034,111,6.031528
5491,56034,138,12.80938
5491,56034,139,1.831387
5491,56034,143,15.4801
5491,56034,145,7.667554
5491,56034,157,21.19792
5491,56034,160,19.12823
5491,56034,162,46.75162
5491,56034,168,8.745965
5491,56034,180,17.81341
5491,56034,181,2.348203
5491,56034,186,16.21948
5491,56034,196,2.513944
1198,52669,63,47.95992
1198,52669,65,2.093368
1198,52669,66,1.92496
1198,52669,75,18.41388
1198,52669,92,6.863498
1198,52669,113,47.03063
1188,52650,498,33.02718
1188,52650,500,1.577253
1188,52650,508,4.791487
1188,52650,511,19.90457
1188,52650,522,12.48937
1188,52650,526,1.548032
1188,52650,528,2.110162
1188,52650,530,1.573319
1188,52650,537,40.0766
1188,52650,556,17.50705
1188,52650,557,1.751077
1188,52650,558,7.555265
8863,57724,511,2.249243
8863,57724,513,9.645315
8863,57724,516,25.44584
8863,57724,519,1.224401
8863,57724,535,1.337361
8863,57724,539,2.586918
8863,57724,549,1.380265
8863,57724,551,52.70908
8863,57724,557,36.93885
7635,56979,634,5.078176
7635,56979,644,4.102486
7635,56979,655,1.604759
7635,56979,660,2.637162
7635,56979,674,2.71499
7635,56979,688,11.14921
7635,56979,704,6.80978
7635,56979,734,6.515271
7635,56979,741,1.127677
7635,56979,742,3.791826
7635,56979,745,1.550855
10720,58250,548,26.94423
10720,58250,561,2.481905
10720,58250,562,1.741424
10720,58250,576,9.49912
10720,58250,580,24.34155
10720,58250,582,5.993392
10720,58250,590,7.431786
10720,58250,591,1.149573
4565,55591,622,16.96472
4565,55591,628,3.915477
4565,55591,652,7.389068
4565,55591,656,5.376284
4565,55591,674,8.97085
3105,54825,623,16.72474
3105,54825,624,42.36523
3105,54825,625,34.54675
3105,54825,626,35.89689
3105,54825,627,32.90741
3105,54825,628,58.07087
3105,54825,629,49.06227
3105,54825,630,19.17965
3105,54825,631,22.6061
3105,54825,632,38.58515
3105,54825,633,20.95941
3105,54825,634,26.74316
3105,54825,635,7.333448
3105,54825,636,14.5281
3105,54825,637,6.594066
3105,54825,638,22.75822
