#1              2                   3   4      5     6      7     8      9     10     11    12     13    14    15    16    17    18        19     20    21    22     23    24  25  26     27    28    29   30    31    32      33 34     35      36
#P-M-F          RA-DEC              sng u      su    g      sg    r      sr    i      si    z      sz    ebv   ppm   l     b     tp        Teff   dT    logg  dlogg  vr   dvr S/N DT(SP) d[pc] z[pc] mass  dmass t3d   logg3d  DT Dlogg  mass3d  dmass3d
0266-51602-0314 094107.47-001949.70 012 19.369 0.023 18.965 0.014 19.063 0.012 19.231 0.018 19.356 0.058 0.053 020.9 235.9 036.7 DA        011493 00122 8.396 0.079   64   22 010 00158 00199 00118 0.841 0.049 011437 8.235  -56 -0.161 0.73677 0.03484
0266-51630-0026 094901.28-001909.61 040 16.951 0.010 16.511 0.014 16.642 0.010 16.813 0.013 17.012 0.019 0.066 109.9 237.3 038.3 DA        010809 00027 8.094 0.025  -18    5 036 00007 00077 00048 0.654 0.014 010702 7.875 -107 -0.219 0.53674 0.00847
0266-51630-0031 094804.30-000738.16 015 18.688 0.023 18.278 0.017 18.342 0.011 18.470 0.023 18.611 0.035 0.088 048.2 236.9 038.2 DA        010135 00050 8.525 0.068   25   14 014 00271 00111 00069 0.920 0.042 010033 8.255 -102 -0.270 0.74933 0.03043
0266-51630-0037 094917.06-000023.67 011 19.271 0.024 18.796 0.018 18.934 0.016 19.108 0.021 19.294 0.055 0.067 047.4 237.0 038.6 DA        011614 00152 8.437 0.095  -28   23 010 00197 00183 00114 0.867 0.059 011568 8.281  -46 -0.156 0.77233 0.04207
0266-51630-0570 094640.35+011319.86 032 17.320 0.020 17.196 0.024 17.549 0.019 17.814 0.022 18.060 0.029 0.127 032.8 235.3 038.7 DA        019971 00126 7.922 0.022   43    7 030 00173 00201 00125 0.583 0.010 019971 7.922    0  0.000 0.58328 0.00723
0266-51630-0629 094844.84+003516.63 026 18.090 0.016 17.649 0.011 17.932 0.013 18.085 0.014 18.305 0.034 0.068 098.9 236.3 038.8 DA        012900 00106 8.146 0.034   93    9 023 00155 00151 00094 0.688 0.019 013007 8.105  107 -0.041 0.66503 0.01347
0267-51608-0099 095329.20-005100.49 011 19.184 0.024 18.858 0.024 18.900 0.019 19.009 0.023 19.103 0.044 0.028 034.4 238.7 038.9 DA        011068 00113 8.653 0.092   87   23 010 00692 00145 00091 0.993 0.047 010952 8.438 -116 -0.215 0.86676 0.04082
0268-51633-0129 095759.16-010707.29 025 18.152 0.019 17.747 0.020 17.635 0.011 17.637 0.014 17.712 0.028 0.039 132.7 239.9 039.6 DA        007578 00028 7.708 0.076   29    5 024 00259 00091 00058 0.463 0.033 007574 7.567   -4 -0.141 0.40172 0.02207
0268-51633-0503 095940.23+003634.17 015 18.954 0.021 18.556 0.019 18.722 0.017 18.928 0.017 19.069 0.047 0.022 033.9 238.4 041.0 DA        010566 00069 8.049 0.078   28   15 013 01131 00199 00130 0.629 0.043 010452 7.800 -114 -0.249 0.51644 0.02100
0270-51909-0008 101435.26-004714.40 010 19.324 0.029 18.915 0.022 18.910 0.021 19.042 0.018 19.216 0.065 0.036 025.3 243.0 043.1 DA        009869 00073 8.497 0.120    7   22 009 00168 00145 00099 0.902 0.075 009783 8.232  -86 -0.265 0.73154 0.05228
0270-51909-0468 100955.38+000943.86 026 18.112 0.015 17.594 0.017 17.746 0.017 17.880 0.017 18.138 0.030 0.023 024.0 241.0 042.8 DA        010622 00035 8.170 0.037   11    7 024 00054 00119 00081 0.699 0.020 010512 7.922 -110 -0.248 0.56011 0.01355
0271-51883-0181 101741.70-002934.12 040 16.755 0.018 16.802 0.015 16.802 0.015 16.974 0.015 17.244 0.015 0.042 102.5 243.3 043.9 DA        014581 00094 7.993 0.018    0    0 000 00000 00000 00000 0.000 0.000 014581 7.993    0  0.000 0.60708 0.00657
0271-51883-0557 102003.39+000902.54 015 18.767 0.022 18.550 0.019 18.562 0.022 18.606 0.021 18.775 0.059 0.035 051.2 243.2 044.7 DA:       006148 00094 9.742 0.147 -188   99 014 03312 00000 00000 1.372 0.034 006147 9.693   -1 -0.049 1.36091 0.02447
0272-51941-0289 102041.74-011101.13 009 19.271 0.026 18.838 0.024 18.873 0.015 18.962 0.021 19.040 0.058 0.052 048.8 244.7 044.0 DA        009211 00076 7.697 0.229   55   20 009 00027 00214 00148 0.464 0.093 009153 7.426  -58 -0.271 0.35929 0.05511
0272-51941-0307 101911.51+000017.25 019 18.686 0.020 18.192 0.017 18.326 0.014 18.467 0.012 18.834 0.051 0.041 047.4 243.1 044.5 DA        012777 00153 8.408 0.051  129   14 017 01315 00156 00109 0.850 0.032 012856 8.326   79 -0.082 0.79890 0.02096
0272-51941-0518 102546.72+002857.43 024 18.225 0.020 17.764 0.020 17.628 0.014 17.608 0.012 17.651 0.021 0.044 115.8 244.1 046.1 DA        007890 00029 7.787 0.065   21    5 023 00030 00092 00066 0.500 0.027 007883 7.616   -7 -0.171 0.42446 0.01977
0273-51957-0337 102653.12+005110.54 010 19.253 0.034 18.836 0.018 19.047 0.017 19.284 0.022 19.410 0.080 0.046 040.0 244.0 046.5 DA        014768 00478 7.939 0.096   84   29 008 00687 00322 00233 0.580 0.048 014768 7.939    0  0.000 0.57950 0.03363
0273-51957-0615 103448.94+005201.33 008 19.521 0.035 19.025 0.015 19.077 0.020 19.152 0.022 19.240 0.074 0.053 101.2 245.9 048.0 DA        010070 00095 8.409 0.133  170   27 008 00048 00166 00123 0.847 0.082 009973 8.140  -97 -0.269 0.67917 0.05632
0274-51913-0222 103833.50-001959.70 027 18.336 0.014 18.651 0.017 18.651 0.017 18.960 0.021 19.400 0.074 0.053 003.9 248.1 047.9 DA        020825 00225 7.479 0.036    0    0 000 00000 00000 00000 0.000 0.000 020825 7.479    0  0.000 0.43104 0.00825
0274-51913-0303 103635.66-000036.42 018 19.316 0.023 18.909 0.020 19.117 0.015 19.375 0.023 19.478 0.060 0.070 043.2 247.3 047.8 DA        012283 00197 7.605 0.067   27   14 015 00468 00335 00248 0.440 0.026 012339 7.583   56 -0.022 0.43140 0.01832
