name,specobjid,ra,dec,plate,mjd,fiberid
7.54878504143019E+017,9.96774153400172E+018,157.14607,38.119457,8853,57459,544
7.3925382543669E+017,2.68655200217074E+018,152.96273,26.796094,2386,54064,563
6.08113531698575E+017,2.73384941457247E+018,131.93612,12.883939,2428,53801,598
6.11167150367478E+017,5.96398701350619E+018,135.38988,16.961725,5297,55913,346
6.16899071986606E+017,2.91052774398259E+018,149.67276,16.314032,2585,54097,278
6.53782155180343E+017,5.07120363210148E+018,123.2766,14.49531,4504,55571,547
2.50020389010976E+018,4.1096680637415E+018,38.765299,-0.48654748,3650,55244,485
2.49875685979304E+018,4.10972551322405E+018,39.750826,0.1742261,3650,55244,694
2.48125960970731E+018,1.05046894165804E+019,24.700916,-3.5799624,9330,57743,157
2.50500294483234E+018,1.04946863401382E+019,29.761464,-1.995972,9321,58069,630
1.35916054705721E+018,9.61094507231421E+018,254.26455,45.002251,8536,58015,958
6.67328516391474E+017,2.16302557538657E+018,119.77139,16.983111,1921,53317,625
6.6246809088135E+017,2.55930661504394E+018,126.71585,18.620217,2273,53709,495
6.26494956638789E+017,6.51002483484789E+018,148.67854,18.652443,5782,56272,260
6.35639045092641E+017,2.74619308176103E+018,139.55093,19.042972,2439,53795,448
6.27522381537132E+017,2.65942182251623E+018,147.10633,19.66709,2362,53759,168
6.47300160472509E+017,6.52367637138613E+018,148.09527,27.890259,5794,56282,772
6.42728288044865E+017,2.63916881801382E+018,149.85225,25.024454,2344,53740,216
6.42837135401005E+017,2.63915919728708E+018,149.98951,25.230908,2344,53740,181
6.49472245695987E+017,5.07569513758749E+018,124.52868,12.198717,4508,55600,503
2.50973991580402E+018,4.76381783711786E+018,23.988455,-0.45144,4231,55444,492
2.29308647530948E+018,2.09205759660002E+018,291.8033,78.297744,1858,53271,493
2.43415972702756E+018,3.54111993943383E+018,353.97312,-9.9611227,3145,54801,599
2.42488057473872E+018,7.35251432940268E+017,6.5095367,-10.631116,653,52145,141
2.39290357693974E+017,1.87468276844989E+018,49.498011,40.719847,1665,52976,216
1.88492363854254E+018,7.08437288049104E+018,346.62241,28.314085,6292,56566,766
2.90678477446233E+017,5.75573511285692E+018,26.332028,23.297971,5112,55895,490
1.26174281610847E+018,4.46093317361502E+018,227.0408,21.843645,3962,55660,428
1.26612073210864E+018,6.77807202270055E+018,224.20846,23.916217,6020,56087,562
1.27702874215325E+018,1.56163834138699E+018,231.63758,31.753501,1387,53118,55
1.27441720017548E+018,1.56290937684547E+018,233.89216,31.956083,1388,53119,583
1.27111233880406E+018,4.46198650573766E+018,231.92563,28.184886,3963,55659,164
1.27816196498136E+018,1.56171640671256E+018,229.7581,33.089482,1387,53118,339
1.29680950609392E+018,9.56358579268697E+018,224.42296,40.136499,8494,57104,698
1.28488327956119E+018,2.39705636616748E+018,215.46658,29.978715,2129,54252,56
1.29735960550627E+018,4.57243354327655E+018,247.0618,20.614755,4061,55362,560
1.28954998486908E+018,1.23151032194918E+019,222.93307,33.083519,10938,58514,36
1.90277345390419E+018,8.04141034131242E+018,340.40166,32.935812,7142,56567,848
7.77512951728188E+017,1.61805895472463E+018,166.99776,40.986351,1437,53046,512
7.79606383212607E+017,5.21654422670858E+018,160.48507,41.170312,4633,55620,909
7.93575201703626E+017,2.18994656901126E+018,146.58935,32.857967,1945,53387,259
7.69409069995618E+017,1.62705570888735E+018,175.45814,42.454201,1445,53062,474
8.14612909295736E+017,9.34404218686042E+018,143.35519,42.232864,8299,57346,723
1.50889688525196E+018,1.44680039255274E+018,210.75284,46.634576,1285,52723,69
1.50560377920657E+018,6.81752030113355E+018,212.26172,45.583239,6055,56102,714
1.50812148473954E+018,7.59557871417769E+018,213.61224,49.275147,6746,56386,938
1.47180760926592E+018,2.36555012874125E+018,204.76499,35.977571,2101,53858,125
1.47773411008344E+018,2.3926940461171E+018,213.50906,32.535728,2125,53795,570
1.4835334884593E+018,3.30012155561433E+018,211.44933,36.765047,2931,54590,396
1.47556539211725E+018,4.48560401003291E+018,203.70067,37.763396,3984,55333,68
1.47595933081394E+018,9.95991411020349E+018,204.39833,39.348582,8846,57428,740
1.48585249162954E+018,1.51778734319969E+018,214.32364,40.364349,1348,53084,270
1.52311617764223E+018,4.47908390602987E+018,197.85107,38.621848,3978,55330,924
1.52339782871391E+018,2.27211417939558E+018,195.70356,37.865321,2018,53800,175
1.5366941841746E+018,7.46823382691927E+018,183.25241,42.325676,6633,56369,508
1.54384266332017E+018,8.35557545791641E+018,188.19736,48.160937,7421,57159,990
1.52685562098527E+018,4.47676448578131E+018,194.10656,40.01084,3976,55302,678
1.30488188424295E+018,5.63516156582746E+018,248.54697,28.203371,5005,55751,118
1.30309583068251E+018,1.77336635403694E+018,243.31295,24.859911,1575,53493,269
1.30265475042458E+018,5.63632319910723E+018,245.83142,25.646647,5006,55706,248
1.30604519760752E+018,4.70758579285972E+018,253.09276,24.703581,4181,55685,721
1.31281616201022E+018,5.62514171584344E+018,253.23625,30.437682,4996,55720,530
1.314702614727E+018,1.22813888924025E+019,253.51463,34.018881,10908,58392,264
1.31166054093041E+018,1.51217598067484E+018,251.41566,30.99214,1343,52790,336
1.60849786404013E+018,7.91640823676039E+018,216.89088,53.810529,7031,56449,749
1.61137421652182E+018,7.6597253223222E+018,215.33308,57.0584,6803,56402,830
1.61272036664696E+018,7.65062191618591E+018,225.33234,56.154032,6795,56425,480
1.55250684930373E+018,7.5932037692798E+018,203.74698,48.719238,6744,56399,490
1.57698348566988E+018,7.69128075668621E+018,195.62803,56.963138,6831,56426,940
1.57247277787334E+018,9.25514502393013E+018,187.29664,54.012875,8220,57432,901
1.5516335278338E+018,7.5976202321409E+018,204.41529,45.975903,6748,56371,173
1.55186181393566E+018,8.33971114790226E+018,202.04771,46.514114,7407,56772,620
1.56348509065345E+018,7.68768315470724E+018,201.51052,54.171214,6828,56430,140
7.86307837870186E+016,5.76354769173823E+018,29.958769,15.831753,5119,55836,240
1.37998807613055E+018,5.84244590136134E+018,242.82302,40.284237,5189,56074,550
1.38028398219702E+018,1.50311765469983E+018,241.5678,40.756177,1335,52824,150
1.37629481657298E+018,1.59438839065506E+018,236.00417,37.550545,1416,52875,415
1.32552074399165E+018,1.22870447779341E+019,245.65619,32.747927,10913,58256,360
1.32340762437783E+018,1.59657147547153E+018,240.67269,33.383741,1418,53142,165
1.32984161853034E+018,5.84468615615194E+018,244.25559,35.388787,5191,56065,508
1.39510031369962E+018,9.58718517876335E+018,229.32883,44.361854,8515,58192,536
1.39271028465742E+018,5.81430719966586E+018,229.38535,42.894581,5164,56067,582
5.87767202170594E+017,1.3467412611801E+018,144.04504,7.7839367,1196,52733,600
1.21690493808544E+018,4.43837558765731E+018,236.47691,21.932083,3942,55338,284
1.22006243053996E+018,1.86458596251693E+018,239.90573,25.485834,1656,53533,348
1.68227049005875E+018,7.84091384926833E+018,191.77245,67.590944,6964,56748,534
1.67104588079448E+018,7.86557616943716E+018,210.87624,65.241733,6986,56717,143
1.80401587355268E+018,2.54120205495359E+018,306.25461,13.173783,2257,53612,167
1.05453552052781E+018,6.71095208112318E+017,166.86002,63.158302,596,52370,214
1.23869214324253E+018,6.15213214676316E+018,217.42812,18.352159,5464,56035,782
1.2355332764002E+018,6.15212719896083E+018,217.30648,17.538334,5464,56035,764
1.24502646409029E+018,3.27077064229889E+018,207.8264,18.317002,2905,54580,114
1.01191985858308E+018,6.54503218709138E+018,139.15935,47.881572,5813,56363,640
1.01266969115565E+018,8.61362669695822E+017,137.08292,49.08273,765,52254,179
1.01111910488089E+018,6.45818450603385E+018,138.20384,45.927069,5736,55984,82
1.02185363690277E+018,6.4661790555324E+018,146.18462,55.288917,5743,56011,494
1.03807635115106E+018,6.42683056799694E+018,134.89765,60.269597,5708,56605,705
1.02310735503645E+018,6.24937708233452E+017,141.43252,54.450936,555,52266,230
1.0233526492085E+018,8.2024239307091E+018,141.31208,55.154591,7285,56991,884
1.94028442695771E+018,2.1268516415409E+018,353.87184,48.016294,1889,53240,97
1.21135529058342E+018,2.43878200747232E+018,233.41727,21.150064,2166,54232,301
1.20331281399986E+018,4.42485791672686E+018,239.83782,19.068854,3930,55332,259
1.21242546329065E+018,2.42749964869753E+018,228.57276,19.693317,2156,54525,216
1.20412256565685E+018,4.43162403590297E+018,237.61128,20.331002,3936,55302,298
1.20424736452377E+018,4.43155531642623E+018,238.74831,20.177904,3936,55302,48
6.92221154702977E+017,6.50791597157937E+018,135.39476,27.138124,5780,56274,780
3.61278458368373E+017,7.73737613432589E+018,12.588713,32.977008,6872,56540,698
1.76682619411441E+018,8.23181582121593E+017,324.08987,11.624129,731,52460,541
6.74889926578103E+017,1.25009088643998E+019,116.91346,22.593154,11103,58488,153
6.79160601536163E+017,1.78470038586526E+018,125.46386,24.828768,1585,52962,542
6.79451907694652E+017,5.02273469096633E+018,125.08125,25.509764,4461,55888,346
6.81933535501912E+017,1.25212322364887E+019,121.85199,26.043863,11121,58438,361
7.22128828755292E+017,2.66401558179508E+018,155.98399,22.159105,2366,53741,496
7.24012189094257E+017,2.64815155363816E+018,158.93332,23.96238,2352,53770,127
7.24336785542611E+017,2.64490167154039E+018,157.76497,24.779247,2349,53734,592
7.08167028242873E+017,1.36022209734695E+018,128.25967,30.994888,1208,52672,491
1.62977780778786E+018,2.88240471225719E+018,246.17446,63.962846,2560,54205,367
