,Unnamed: 0,bestObjID,specObjID,plate,mjd,fiberID,url,source_id,object_num,mainseq_source,mainseq_sourc0e,mainseq_bestobjid,mainseq_sourceobjid,mainseq_plate,mainseq_mjd,mainseq_fiberID,mainseq_url
0,511,1237665126927237227,2.37233191525341e+18,2107,53786,221,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/2107/spec-2107-53786-0221.fits,757911884925087104,1,757911988004305280,757911988004305280,1237665126927237234,2.3723231191603876e+18,2107,53786,189,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/2107/spec-2107-53786-0189.fits
1,4341,1237658800959520914,1.1394882657373656e+18,1012,52649,282,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/1012/spec-1012-52649-0282.fits,842498482680906496,1,842504358196167680,842504358196167680,1237658800959520916,1.1382903478692352e+18,1011,52652,20,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/1011/spec-1011-52652-0020.fits
2,4860,1237663783656882228,4.312502062694011e+17,383,51818,111,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/0383/spec-0383-51818-0111.fits,2644149993913188352,1,2644149993913188224,2644149993913188224,1237663783656882229,7.656295657489306e+17,680,52200,64,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/0680/spec-0680-52200-0064.fits
3,5210,1237661949719937087,1.8194641982293545e+18,1616,53169,36,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/1616/spec-1616-53169-0036.fits,3928724512568932992,2,3928724924885805568,3928724924885805568,1237661817096175776,1.9073723569767977e+18,1694,53472,356,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/1694/spec-1694-53472-0356.fits
4,8297,1237657611260133456,3.5759148100486185e+18,3176,54832,206,https://data.sdss.org/sas/dr14/sdss/spectro/redux/104/spectra/3176/spec-3176-54832-0206.fits,848877784721878784,1,848877784721009024,848877784721009024,1237657611260133456,1.0179864539357778e+18,904,52381,629,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/0904/spec-0904-52381-0629.fits
5,9402,1237664836462575849,2.1697367195517197e+18,1927,53321,464,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/1927/spec-1927-53321-0464.fits,676167215489980800,2,676167219784728576,676167219784728576,1237664836462575848,2.1684945462231306e+18,1926,53317,41,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/1926/spec-1926-53317-0041.fits
6,10114,1237657191447330936,7.781568514632192e+17,691,52199,582,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/0691/spec-0691-52199-0582.fits,2537054602135189120,2,2537056083899046784,2537056083899046784,1237657191447330942,1.2712603361455903e+18,1129,52641,434,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/1129/spec-1129-52641-0434.fits
7,11717,1237661967967125574,1.6327214932783534e+18,1450,53120,606,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/1450/spec-1450-53120-0606.fits,1538128771968706560,1,1538128771968879616,1538128771968879616,1237661967967125575,7.47263242320266e+18,6637,56370,126,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/6637/spec-6637-56370-0126.fits
8,12793,1237661966353498127,1.6269619755210772e+18,1445,53062,133,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/1445/spec-1445-53062-0133.fits,769201880773377920,2,769201876477782144,769201876477782144,1237661966353498127,2.21811275836322e+18,1970,53386,327,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/1970/spec-1970-53386-0327.fits
9,13743,1237657609107341402,8.523090158063718e+17,757,52238,10,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/0757/spec-0757-52238-0010.fits,906922545445227648,1,906922549740583808,906922549740583808,1237657609107341403,1.0043978645556695e+18,892,52378,346,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/0892/spec-0892-52378-0346.fits
10,15220,1237661852015198226,1.516734281559337e+18,1347,52823,535,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/1347/spec-1347-52823-0535.fits,1498271406743008640,2,1498271376679465600,1498271376679465600,1237661852015198225,6.820704486605955e+18,6058,56090,10,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/6058/spec-6058-56090-0010.fits
11,16522,1237665567684755609,2.420764040214112e+18,2150,54510,288,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/2150/spec-2150-54510-0288.fits,1261421999231535616,1,1261422308468580480,1261422308468580480,1237665548356813088,6.648441800439603e+18,5905,56065,10,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5905/spec-5905-56065-0010.fits
12,17391,1237663543674864099,2.1483811787076012e+18,1908,53239,597,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/1908/spec-1908-53239-0597.fits,4228388602763827584,1,4228388774562523264,4228388774562523264,1237663543674864270,1.10576129324092e+18,982,52466,464,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/0982/spec-0982-52466-0464.fits
13,18426,1237667112799567878,6.523482307583517e+18,5794,56282,66,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5794/spec-5794-56282-0066.fits,743097619303531904,1,743097619303531776,743097619303531776,1237667112799568095,2.640320281851226e+18,2345,53757,309,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/2345/spec-2345-53757-0309.fits
14,19122,1237663233380057210,7.333238540958933e+18,6513,56543,918,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/6513/spec-6513-56543-0918.fits,2853079051689775232,1,2853079051690361088,2853079051690361088,1237663233380057211,3.1774083580009124e+18,2822,54389,432,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/2822/spec-2822-54389-0432.fits
15,19123,1237663233380057211,8.631176571653169e+18,7666,57339,101,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/7666/spec-7666-57339-0101.fits,2853079051690361088,2,2853079051689775232,2853079051689775232,1237663233380057210,7.742914649339699e+18,6877,56544,367,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/6877/spec-6877-56544-0367.fits
16,19362,1237651754532798703,5.340323947647836e+18,4743,55645,657,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4743/spec-4743-55645-0657.fits,3846979117283617152,1,3846983485264812672,3846983485264812672,1237651754532930221,5.340334667886207e+18,4743,55645,696,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4743/spec-4743-55645-0696.fits
